Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-309.06796	74.34118	-177.88829	-406.84628	-571.6517	4.7109427	-566.5694	-582.5228	1000.0	1000.0	5000	6.590269	7.482571	38.317207	-14.333004	-7.96019	1.0990611	38.13798809051514
2	-242.71802	109.52362	-141.70367	-421.7727	-612.5752	31.894444	-564.664	-673.97614	1000.0	1000.0	10000	44.574516	15.227364	86.168755	-1.5505762	-47.301487	2.5369976	73.34295392036438
3	-525.6576	60.671486	-414.26184	-595.94977	-707.475	78.98233	-526.1781	-815.441	1000.0	1000.0	15000	85.44912	15.402914	125.20992	26.246733	-88.182846	2.8746762	110.46815824508667
4	-537.90015	127.27874	-372.33856	-714.9027	-567.9105	42.09108	-499.7917	-633.988	1000.0	1000.0	20000	99.50238	19.691755	159.81668	26.458324	-100.91315	2.9036875	151.87394213676453
5	232.02725	537.0804	753.9927	-560.8552	486.93417	384.71313	822.67676	-310.3226	1000.0	1000.0	25000	92.65639	20.459158	138.80699	21.67137	-93.58856	2.7045524	190.30014324188232
6	815.46045	346.08963	1261.306	355.02066	1228.8003	103.91137	1418.7312	1071.5852	1000.0	1000.0	30000	91.71592	22.834352	142.17245	21.09102	-92.76519	2.8861632	227.84360313415527
7	1367.335	202.20729	1711.5138	1087.8229	1600.2009	300.5219	1785.7745	709.483	1000.0	1000.0	35000	99.00586	27.455458	156.70871	21.171282	-100.155815	3.3254714	267.0234651565552
8	1308.7596	454.8032	1788.3231	484.15643	1814.6967	623.91284	2115.9426	-46.21198	1000.0	1000.0	40000	110.371895	32.13691	176.41182	27.55942	-111.57665	3.867179	307.0953621864319
9	1863.0159	249.8705	2175.5007	1482.3442	1279.1985	625.5603	2105.6843	93.13141	1000.0	1000.0	45000	123.17019	37.451473	195.96254	32.597153	-124.41553	4.804221	349.92137813568115
10	825.74005	730.34937	1871.4452	-227.38744	2264.6807	173.27835	2462.6309	1816.9591	1000.0	1000.0	50000	133.72778	42.920322	210.84695	34.047234	-134.96332	5.625689	394.60163617134094
11	2288.412	154.69481	2443.866	2004.029	1951.7067	673.60657	2360.6985	-15.249085	1000.0	1000.0	55000	145.87263	48.82666	226.03477	32.137936	-147.12914	6.1445756	439.74735832214355
12	2413.9578	149.99155	2691.3892	2289.143	2315.6265	131.67871	2588.2842	2145.1104	1000.0	1000.0	60000	161.4582	52.658463	246.05823	37.02493	-162.77914	6.466783	483.1364269256592
13	2427.8208	163.32182	2632.456	2243.551	2441.8594	84.432205	2581.4934	2295.8167	1000.0	1000.0	65000	177.84163	55.01991	264.5705	44.107254	-179.22357	6.767806	524.8172740936279
14	2468.526	146.31956	2662.5508	2217.1467	2463.5923	587.5226	2941.3408	995.0651	1000.0	1000.0	70000	193.54639	56.40677	275.04578	53.779823	-194.94928	7.0493655	567.896103143692
15	2472.6362	174.57602	2731.307	2235.2415	2387.6257	750.8755	2807.4568	165.90765	1000.0	1000.0	75000	208.78415	56.251637	287.09265	63.585068	-210.22626	7.287508	612.1941621303558
16	1970.1901	1194.7894	2899.8975	-258.1434	2540.8687	762.79944	2999.7764	292.5921	1000.0	1000.0	80000	222.01251	56.188942	304.69235	82.016655	-223.4379	7.5861845	660.2106070518494
17	2829.465	79.6291	2943.3687	2721.332	2230.7734	1246.174	3164.9204	-523.3772	1000.0	1000.0	85000	233.06517	58.554787	315.7406	91.41849	-234.46512	7.6373305	702.1321132183075
18	2802.2417	154.19623	3042.4517	2556.4922	2506.8997	844.9682	3209.0173	284.88022	1000.0	1000.0	90000	244.95532	60.282757	327.34866	98.17834	-246.39626	8.19358	744.5397531986237
19	2859.6182	133.03418	3034.6143	2720.793	2705.1797	787.68176	3106.5208	365.07043	1000.0	1000.0	95000	256.66846	61.046207	340.93347	101.96452	-258.14905	8.573159	788.7675881385803
