Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-275.27908	174.06664	51.99584	-601.75934	92.51163	-0.122775674	0.47526416	1.1940235	-1.5786005	4000	9.745359e-09	67532.51	-0.011319399	-3488.6758	1.3264	0.015304336	0.0815	25.0	4.762392997741699
1	-264.64478	144.35439	-66.12701	-560.96106	106.810814	-8.214705	1.127195	1.852055	-9.29711	8000	-1.6713142e-07	50656.03	-0.010269642	-2116.832	1.3505434	0.014688888	0.11525	79.0	8.841542720794678
2	-186.70103	118.44715	14.405756	-459.98712	94.7381	-13.923439	0.4672389	-8.111762	-14.275491	12000	-3.516674e-08	29823.678	-0.009700036	-832.1797	1.3664451	0.010048084	0.0895	79.0	13.094638109207153
3	-142.04607	109.16651	-2.6943338	-509.02692	93.54762	-16.814713	0.5755566	-7.389781	-17.073805	16000	-8.918345e-08	17975.986	-0.010449908	-411.3125	1.3617929	0.011952553	0.10825	79.0	17.197935104370117
4	-153.87396	87.21839	-5.722808	-425.54578	104.02631	-18.888538	0.35775587	-15.297721	-19.08726	20000	-5.3644182e-09	16444.982	-0.011481803	-444.7422	1.336795	0.013733032	0.0825	79.0	21.373010873794556
5	-151.9568	108.72917	-15.483954	-529.2217	95.075	-21.009632	0.62889016	-9.426733	-21.185963	24000	-3.8743018e-08	20006.889	-0.006792256	-448.29102	1.3602661	0.0157325	0.129	22.0	24.913795948028564
6	-152.22328	113.19266	31.687	-461.33755	113.34286	-23.2302	0.23203422	-19.176136	-23.347034	28000	-9.23872e-08	18533.555	-0.011913668	-435.89453	1.3277653	0.0084812995	0.07825	79.0	29.057708978652954
7	-158.20575	128.77855	10.131629	-527.4531	110.94444	-25.425013	0.31499726	-21.739925	-25.54237	32000	-1.2278557e-08	24400.447	-0.01162968	-583.21875	1.3037589	0.013534597	0.11625	79.0	33.26227784156799
8	-171.9005	112.66153	-30.295397	-443.78732	115.70588	-27.945255	0.18071468	-23.715641	-28.040552	36000	-1.09016895e-07	20826.574	-0.007709067	-570.1953	1.2784379	0.007613884	0.06725	79.0	37.42714190483093
9	-114.1642	80.08613	-11.92541	-295.5001	117.64706	-30.522165	0.111280106	-27.766996	-30.578276	40000	4.440546e-08	10310.934	-0.0069144387	-270.91113	1.2756772	0.008645788	0.06	79.0	41.58881092071533
10	-140.22371	122.52535	89.537575	-440.24106	167.69565	-32.092113	2.7596326	15.812764	-32.40475	44000	-4.7922136e-08	13255.108	-0.010682875	-256.9248	1.2490815	0.0143718375	0.19	79.0	46.65704083442688
