Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-273.02472	66.97821	-187.73384	-382.94443	-492.58554	20.616241	-454.7081	-528.6294	1000.0	1000.0	5000	2.5070465	3.3699584	22.818192	-7.441012	2.5073771	3.3701298	23.242739	-7.8883753	-3.9297	0.50498486	43.46357297897339
2	-292.53455	60.556232	-198.5342	-384.9012	-519.52673	18.947392	-486.512	-545.8189	1000.0	1000.0	10000	17.23187	8.121632	46.10384	-4.8740005	17.231867	8.120754	46.511448	-4.881993	-20.030107	1.3792207	84.05708909034729
3	-198.79704	215.30144	103.068695	-445.3699	-148.0542	94.35427	19.981867	-294.42044	1000.0	1000.0	15000	29.629705	6.2803903	51.89304	4.525222	29.629614	6.2793517	52.851368	4.4987874	-31.245	1.8232119	127.34508228302002
4	-223.49939	346.24725	208.60655	-660.56244	-495.5879	82.09862	-346.1098	-593.35693	1000.0	1000.0	20000	33.518353	9.1352625	68.54084	7.7395835	33.518467	9.134229	66.73465	6.9868975	-35.479614	2.8644059	172.11874723434448
5	-178.21336	567.79285	921.01117	-721.6286	914.8241	532.1716	1711.4102	-317.5762	1000.0	1000.0	25000	32.113964	13.166785	93.94603	-37.230488	32.11416	13.167613	96.04885	-40.705048	-33.272358	3.3227286	215.64160108566284
6	1149.2932	411.6968	1511.1226	406.88455	905.6699	861.5193	2035.7731	-500.33487	1000.0	1000.0	30000	32.98045	18.015814	87.028206	-13.71169	32.980408	18.01638	86.55424	-16.100775	-34.28489	3.3292773	260.2009902000427
7	1902.4756	479.74988	2232.9246	950.91425	2293.8965	208.68872	2556.312	1939.2537	1000.0	1000.0	35000	41.05553	25.254513	111.65333	-21.534998	41.0552	25.254406	113.89441	-20.785936	-42.611176	5.269599	307.55792212486267
8	2489.9768	30.898628	2541.5857	2459.9104	2549.813	136.8381	2832.5027	2372.2126	1000.0	1000.0	40000	54.509865	33.58625	139.5205	-21.381422	54.50949	33.585083	140.91765	-20.709373	-56.489426	7.6255565	359.2780542373657
9	2655.394	72.287575	2769.6216	2563.7476	2981.7827	133.31287	3167.4917	2737.8076	1000.0	1000.0	45000	70.162254	40.287704	157.22316	-20.607872	70.161804	40.285664	158.0083	-20.227304	-72.35853	10.301405	411.53973031044006
10	2965.6006	238.15236	3332.5378	2615.953	3466.4656	456.75552	4066.8154	2350.2996	1000.0	1000.0	50000	87.17055	45.045338	175.08463	-9.646709	87.16983	45.043198	176.10252	-10.279601	-89.42141	12.777285	463.6485869884491
11	3418.711	164.75491	3687.8425	3196.778	3807.3237	143.20305	4017.6223	3572.0383	1000.0	1000.0	55000	103.95102	50.33672	216.48969	-5.934138	103.95024	50.334694	217.26659	-3.1789942	-106.387436	15.413511	514.0708973407745
12	3427.382	383.18707	3758.704	2687.047	3703.2273	780.2134	4236.4062	1411.959	1000.0	1000.0	60000	120.718925	56.27848	250.08197	-8.365677	120.718124	56.276955	246.3198	-7.7003098	-122.99125	19.594662	564.5205540657043
13	4126.5796	75.47835	4238.9326	4016.2168	3822.4966	1443.1661	4451.5767	-496.51218	1000.0	1000.0	65000	137.98561	62.616768	268.90042	-9.679818	137.98538	62.61503	267.8733	-7.584328	-140.46793	24.591017	614.4597141742706
14	4256.5967	141.45743	4518.1787	4137.479	4474.12	102.007286	4638.028	4313.314	1000.0	1000.0	70000	155.19144	68.979294	285.30002	-13.852656	155.19102	68.97668	285.49646	-10.979433	-158.0384	29.793322	665.8755540847778
15	4481.569	202.59879	4742.8066	4198.4507	4466.852	76.22811	4589.824	4363.049	1000.0	1000.0	75000	172.16284	74.054375	306.72052	-22.632963	172.16246	74.052635	304.73126	-18.269634	-174.82744	34.550236	717.3805391788483
16	4647.1636	328.4998	4955.0405	4225.0386	4773.985	82.21178	4926.344	4626.1333	1000.0	1000.0	80000	188.37682	78.83198	318.2763	-28.209702	188.37605	78.8306	318.1995	-32.844498	-191.29982	37.44459	766.4173731803894
17	4685.8867	411.98752	5197.963	4015.57	5250.1323	128.96965	5423.591	4993.429	1000.0	1000.0	85000	205.30884	82.20598	334.4843	-34.53993	205.3084	82.20417	335.63773	-34.92378	-208.29558	39.657604	813.6410212516785
18	4902.875	150.72934	5045.7427	4625.198	5315.4404	194.40488	5558.294	4972.6533	1000.0	1000.0	90000	221.79373	85.16941	347.69348	-28.609646	221.79393	85.16791	346.66898	-27.420773	-225.0444	41.55416	862.280745267868
19	5183.904	131.28873	5399.9644	5025.454	5641.425	150.84724	5854.3184	5293.2695	1000.0	1000.0	95000	237.67271	87.860466	364.7205	-19.193287	237.67226	87.860435	364.08646	-29.237381	-240.75896	41.719612	910.7157502174377
20	5267.8423	226.24385	5612.2754	5047.5557	5783.797	157.67018	6141.6143	5556.2188	1000.0	1000.0	100000	252.54533	89.96867	379.32343	-26.60458	252.54565	89.96643	377.69824	-25.487492	-255.08925	43.61463	958.9533212184906
21	5250.836	189.52158	5440.0386	4951.529	5945.667	120.38575	6170.4253	5793.7593	1000.0	1000.0	105000	265.84842	92.04434	388.55615	-28.14635	265.8481	92.041885	388.71716	-28.12153	-269.28268	44.672955	1006.790399312973
22	5139.7554	262.918	5419.0396	4653.769	5780.035	220.99214	6131.646	5399.1763	1000.0	1000.0	110000	278.27197	93.05104	400.0192	-29.619038	278.27167	93.050224	397.97626	-33.162663	-281.23306	45.329155	1056.569661140442
23	5201.1006	122.37225	5414.726	5055.9434	5916.738	170.272	6123.061	5608.253	1000.0	1000.0	115000	289.16824	94.00009	406.91605	-30.921541	289.16818	93.99768	408.19427	-17.370106	-292.2441	47.30493	1107.0497162342072
24	5452.5557	124.74771	5629.2734	5255.0356	5854.917	68.66417	5940.431	5691.138	1000.0	1000.0	120000	299.58173	94.72995	413.15704	-33.65054	299.5818	94.72906	415.95328	-33.04525	-302.53384	47.339718	1156.5121693611145
25	5540.562	83.58354	5624.758	5389.8574	6000.3467	151.01872	6362.34	5787.5327	1000.0	1000.0	125000	309.15927	94.76724	420.7139	-21.362408	309.15918	94.766174	420.8059	-27.433521	-311.92734	46.457893	1205.3707711696625
26	5288.8877	457.7746	5836.9746	4480.9673	5768.0728	85.005844	5953.599	5609.708	1000.0	1000.0	130000	317.79437	95.40332	428.75586	-36.126633	317.79434	95.40304	428.68073	-40.39356	-320.66544	46.790997	1254.5998752117157
27	5500.0054	181.58606	5709.568	5226.0664	5177.3154	142.54526	5389.282	4984.517	1000.0	1000.0	135000	325.6628	96.3745	434.83084	-40.985523	325.66248	96.3731	432.17166	-41.236298	-328.48413	48.086708	1303.9110841751099
