Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-282.3609	77.88339	-158.73718	-394.27542	-478.63388	17.390226	-458.1361	-505.1765	1000.0	1000.0	5000	1.7443764	2.2881997	18.763588	-9.4839	1.7442017	2.2881413	18.736746	-9.346776	-2.6080775	0.38863158	42.51115918159485
2	-275.47766	71.91152	-209.90022	-386.92465	-690.19055	28.261707	-638.84625	-730.9627	1000.0	1000.0	10000	12.325348	8.170435	52.033527	-16.330194	12.325235	8.170152	52.992474	-15.629617	-15.496361	1.831984	83.65189933776855
3	-592.34827	72.37172	-508.0466	-716.3406	-520.4421	67.937614	-338.74493	-605.4301	1000.0	1000.0	15000	25.521584	11.071285	60.48652	-12.677274	25.522411	11.070096	61.3909	-11.132671	-28.0487	3.4445121	127.06560111045837
4	62.091198	400.54825	532.9432	-506.05524	345.92505	686.61346	1330.9396	-578.3269	1000.0	1000.0	20000	30.27039	15.5159235	70.07376	-7.3372455	30.270512	15.515339	70.017494	-8.915423	-32.18545	3.5537765	171.8230242729187
5	372.44012	630.6489	1105.5009	-503.17307	1573.0858	81.5645	1710.29	1404.4805	1000.0	1000.0	25000	36.508217	15.836701	77.84555	-5.4536257	36.508503	15.836076	77.018425	-5.884264	-38.08235	3.2106273	216.1239230632782
6	1874.0271	193.98785	2222.1584	1624.4542	2008.1195	615.9689	2414.693	228.12553	1000.0	1000.0	30000	43.34046	18.509377	102.66224	-3.7452595	43.340816	18.50835	102.995255	-3.8215399	-44.97938	4.436456	259.40724897384644
7	2666.608	414.11453	3113.6733	1932.5415	2941.649	53.29647	3046.886	2878.8125	1000.0	1000.0	35000	56.25065	24.9491	134.10579	-4.782128	56.250854	24.947235	134.09637	-3.7716029	-58.362736	7.0816994	305.8706991672516
8	3290.6128	302.23334	3805.6528	2856.5127	3120.713	1312.321	4057.3364	-281.89548	1000.0	1000.0	40000	75.44707	33.134624	162.19366	-4.0932946	75.44702	33.13345	162.52097	-1.5487528	-77.9945	9.928625	357.242858171463
9	3514.606	117.84414	3713.961	3361.929	3783.519	82.35425	3970.5935	3684.143	1000.0	1000.0	45000	97.41532	40.550938	192.59761	1.3012139	97.41499	40.549816	193.82999	0.23462355	-100.181465	12.470092	409.09877610206604
10	3913.0515	187.38411	4223.7363	3647.199	3998.271	161.2542	4217.2515	3657.7087	1000.0	1000.0	50000	119.89415	46.566326	217.16017	3.9225948	119.89461	46.564976	217.49142	4.2151885	-122.733185	14.679594	462.50227999687195
11	4167.3955	282.15234	4538.033	3874.8967	3001.658	1593.9836	4375.654	57.266087	1000.0	1000.0	55000	142.3377	51.30395	244.31593	11.853581	142.33813	51.3031	242.91655	11.804676	-145.43108	17.091875	513.2383320331573
12	3353.8315	1241.5072	4392.358	1395.245	4314.794	1390.1561	4913.988	151.05437	1000.0	1000.0	60000	163.42665	56.237957	276.0913	16.961523	163.42679	56.236534	275.30173	18.89518	-166.2901	20.05285	562.8984141349792
