Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-321.4754	35.102913	-265.16617	-368.2492	-38.53907	1.0109135	-36.73236	-40.89368	1000.0	1000.0	5000	-0.2735614	1.1311655	4.651985	-9.078271	-0.34715056	0.4931795	25.673914194107056
2	-232.03093	39.893085	-171.06714	-297.0485	-41.46479	1.1009636	-39.88659	-43.111042	1000.0	1000.0	10000	-2.1417096	1.1690909	2.9397535	-11.061131	1.4710014	0.8804214	52.79589509963989
3	-117.393654	114.1051	-4.977839	-258.81403	-41.473335	1.0221434	-40.162724	-43.01763	1000.0	1000.0	15000	-3.3778093	1.4378854	2.9639943	-11.904267	2.8482964	0.76859295	82.46706628799438
4	-230.10254	174.92064	-43.71966	-512.84906	-189.31076	1.7473624	-187.02675	-192.97986	1000.0	1000.0	20000	-5.6112943	2.375168	1.9295373	-15.123949	5.155837	0.7727179	111.5658450126648
5	-107.16936	43.739895	-56.2527	-187.96115	-45.64694	25.669847	-5.6571884	-70.58501	1000.0	1000.0	25000	-9.266472	3.6346388	-0.33662793	-20.637472	8.846352	0.9560695	142.9786992073059
6	-39.086906	20.595251	-14.8577795	-66.33387	-14.85921	1.1969756	-12.726454	-16.47232	1000.0	1000.0	30000	-12.95105	4.6589723	-2.5724814	-26.969221	12.555995	1.2044876	172.8349552154541
7	25.795435	69.10982	163.21265	-16.863169	-58.265736	48.170544	-14.275669	-144.35854	1000.0	1000.0	35000	-16.460485	5.477624	-4.494713	-33.41728	16.057095	1.4504434	216.6552610397339
8	23.430323	85.71919	193.63861	-38.806503	1.3133868	16.780163	46.327362	-11.769139	1000.0	1000.0	40000	-20.347744	6.3821087	-8.509288	-40.681416	19.915169	1.8875023	263.4331142902374
9	-44.960945	96.922356	53.600918	-210.40224	-224.21477	74.02113	-29.795652	-291.8285	1000.0	1000.0	45000	-24.751324	7.5873733	-9.973278	-48.714214	24.235525	2.741064	307.61440420150757
10	-204.62895	167.44336	27.9006	-428.49896	-282.3479	61.48471	-164.68103	-337.73077	1000.0	1000.0	50000	-30.405973	9.211993	-12.059277	-61.830135	29.740446	4.1874156	351.43676018714905
11	25.754522	299.73322	509.52762	-293.9522	-22.925114	31.358105	22.027138	-100.76728	1000.0	1000.0	55000	-37.94871	12.071291	-13.785799	-77.54998	37.144886	6.4329023	394.78557324409485
12	-171.76709	177.65338	44.819313	-400.4183	-21.09938	1.6274383	-18.115215	-23.990225	1000.0	1000.0	60000	-46.024105	14.497343	-19.843733	-91.66603	45.1818	9.528759	437.3150579929352
13	-35.22725	25.335281	-3.3058314	-78.04947	-126.49428	146.93997	42.300354	-458.5263	1000.0	1000.0	65000	-55.65044	16.87204	-28.750721	-109.945625	54.719406	11.718959	480.12039828300476
14	-12.758112	66.33591	42.10813	-142.72447	-169.72571	93.403625	-39.347305	-315.92953	1000.0	1000.0	70000	-66.591606	19.185297	-36.950397	-133.05325	65.83428	15.317765	526.2277052402496
15	-103.82961	118.7234	4.7993264	-302.9283	1.8075154	32.517624	79.896164	-41.09864	1000.0	1000.0	75000	-80.83338	21.936178	-44.50979	-163.018	79.985146	19.178724	569.5931162834167
16	7.3934174	11.427307	20.329056	-10.709114	-0.3960008	3.844097	7.3764243	-7.423305	1000.0	1000.0	80000	-97.11769	24.489983	-58.907314	-187.23376	96.23982	24.8028	612.6235661506653
17	4.0762954	6.4907084	9.744003	-8.432761	-159.46649	86.47262	-22.828983	-337.9058	1000.0	1000.0	85000	-116.81183	27.429302	-72.56492	-220.38742	115.99663	30.353197	656.6352591514587
18	-138.17297	151.42238	12.851562	-347.2312	20.54654	98.65468	140.80074	-229.61403	1000.0	1000.0	90000	-139.68327	30.231556	-93.740555	-265.02045	138.50725	40.373074	698.2041141986847
19	57.588326	79.12305	196.31238	-35.67138	-68.88032	49.867203	-17.19993	-167.17468	1000.0	1000.0	95000	-167.6881	33.866634	-111.69067	-304.55646	166.6148	53.32413	741.992436170578
20	-83.92141	91.39721	44.014748	-219.18237	-166.3028	75.93046	-50.72453	-324.26556	1000.0	1000.0	100000	-201.04308	38.74865	-141.56967	-375.24847	199.81517	75.07292	785.6366121768951
21	-92.3437	59.081566	16.887915	-156.9977	-17.192545	41.834835	63.776814	-83.58405	1000.0	1000.0	105000	-240.78625	43.422573	-174.31816	-427.42017	239.69624	103.85816	830.4777772426605
22	-176.92355	277.56097	21.435627	-726.00116	302.3562	207.79916	620.7777	11.386032	1000.0	1000.0	110000	-287.99716	48.785748	-210.49303	-500.83517	286.5986	141.07373	873.8882250785828
23	-140.84854	145.31856	53.253265	-364.27878	-43.35592	20.438974	-17.855667	-69.878075	1000.0	1000.0	115000	-341.7079	53.30696	-258.1214	-590.44824	339.93195	184.32246	918.8149211406708
24	-122.41323	27.132532	-94.751076	-168.94487	-3.323729	0.7167162	-1.8297869	-4.356015	1000.0	1000.0	120000	-401.49762	56.779892	-305.70312	-658.7707	399.43756	233.92725	961.7136719226837
25	2.798919	33.251072	62.575954	-29.384598	-16.5752	2.5138931	-11.448336	-19.856058	1000.0	1000.0	125000	-471.1681	61.864906	-358.13977	-754.8194	469.414	305.06696	1003.7128551006317
26	-57.40412	232.08148	227.04004	-481.7687	114.62498	100.384254	364.36267	18.422518	1000.0	1000.0	130000	-553.8818	66.0398	-428.21735	-857.1813	551.1097	396.9104	1048.7132861614227
27	72.68514	238.19083	520.53925	-192.37125	21.113247	2.177461	22.683186	14.745324	1000.0	1000.0	135000	-643.3178	69.53649	-513.4133	-988.2347	640.6532	499.9757	1093.7187190055847
28	-140.54459	123.49879	-19.343378	-375.8458	52.456642	2.7852993	57.85826	48.41906	1000.0	1000.0	140000	-748.6175	77.54062	-608.14026	-1133.5149	745.788	696.0493	1145.4559440612793
29	47.06953	10.725102	62.23359	31.264278	13.911441	0.76680225	15.343697	12.65312	1000.0	1000.0	145000	-873.7992	85.51851	-692.0205	-1320.6968	870.7673	860.1408	1188.7465453147888
30	-128.2163	196.26698	51.03794	-503.55997	-17.264738	1.8838257	-14.829076	-20.793966	1000.0	1000.0	150000	-1018.9778	95.1296	-820.694	-1499.7665	1015.464	1133.3916	1233.2438611984253
31	-147.90013	88.40741	-75.60319	-320.1127	-56.290047	3.2223732	-52.266006	-64.028595	1000.0	1000.0	155000	-1169.0756	101.96094	-946.5922	-1686.9559	1164.0546	1432.2924	1282.6865742206573
32	-174.80147	69.59174	-101.09197	-297.87335	-47.460735	6.171951	-42.58734	-61.894566	1000.0	1000.0	160000	-1330.8666	108.62382	-1090.8635	-1903.5988	1324.4614	1859.6152	1333.632996082306
33	-154.46594	76.23325	-53.71832	-261.16635	-17.007923	0.9875076	-16.177952	-19.246626	1000.0	1000.0	165000	-1530.7804	127.51954	-1242.5172	-2242.651	1527.2444	2423.6233	1383.8716983795166
34	-123.35481	75.63887	-1.8933597	-239.24493	-27.632889	1.1374283	-26.310148	-30.256413	1000.0	1000.0	170000	-1768.409	141.57034	-1419.7699	-2510.0334	1762.8728	3294.047	1432.0404002666473
35	-152.10498	195.6238	93.179474	-508.50623	-118.54209	25.833748	-66.69671	-153.49684	1000.0	1000.0	175000	-2012.0049	153.42833	-1650.044	-2798.8687	2004.0176	4168.1094	1479.6943881511688
36	18.469683	161.53108	175.52473	-231.68785	-66.23582	36.6432	10.193127	-135.65393	1000.0	1000.0	180000	-2281.642	178.30724	-1861.3003	-3208.8433	2270.966	5370.7695	1539.3409123420715
37	-206.18909	103.56259	-28.879637	-335.3688	-56.160046	1.6545597	-53.819202	-58.15442	1000.0	1000.0	185000	-2581.3118	209.39445	-2092.8367	-3627.8438	2567.632	7083.384	1623.620474100113
38	-108.25714	20.820427	-80.93837	-144.66139	-261.05457	8.150783	-247.13913	-271.12296	1000.0	1000.0	190000	-2916.446	236.99303	-2399.9045	-4117.8633	2900.8125	8675.0	1700.3424592018127
