Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-287.25693	75.70893	-183.08235	-416.04443	-451.795	1.5916499	-449.81177	-454.64777	1000.0	1000.0	5000	1.3464862	1.3793364	9.528761	-3.3026247	1.3468634	1.3740177	9.64161	-3.8379424	-2.1825988	1.4382933	17.507354021072388
2	-377.90063	38.98389	-325.5401	-426.0105	-428.17822	3.4250379	-423.5253	-435.05307	1000.0	1000.0	10000	2.5761733	1.336177	9.470794	-3.46275	2.5762143	1.3373687	9.331339	-3.4753153	-3.3509672	1.7650853	34.90664100646973
3	-228.26736	148.88153	-66.28292	-403.42645	-127.12164	105.21662	-72.66431	-353.65894	1000.0	1000.0	15000	1.5107368	1.5588537	9.688183	-6.0447845	1.5102087	1.5531425	9.4252405	-6.6619406	-1.9245802	1.3593645	55.909969091415405
4	-114.352646	117.51009	12.740694	-301.06573	-46.85357	34.996803	-24.061321	-150.22055	1000.0	1000.0	20000	-0.44902033	1.2923545	7.0862923	-6.620363	-0.44945148	1.2931372	7.118064	-7.0743527	0.06476381	1.079838	78.56884407997131
5	-140.91562	38.997833	-88.48034	-201.11894	1.5147306	3.7849596	9.143977	-5.402957	1000.0	1000.0	25000	-1.8087702	1.8044624	7.3767815	-9.082861	-1.8087337	1.8023927	7.631264	-9.034367	1.4301544	1.1116142	100.18619012832642
6	-30.548975	22.469053	7.2048354	-55.23142	-30.527111	21.953163	-9.249477	-82.20548	1000.0	1000.0	30000	-2.8505406	2.4834688	7.229461	-12.418996	-2.8522243	2.4839709	7.486005	-12.292086	2.499962	1.2083478	120.8725061416626
7	-69.89064	22.695404	-49.367004	-106.56159	-20.126043	1.7645721	-17.14226	-23.71857	1000.0	1000.0	35000	-3.9536424	3.284096	6.6855	-18.150112	-3.9549463	3.2839215	6.85445	-16.36967	3.6252577	1.4390321	140.1278691291809
8	-71.23872	49.828102	-11.218881	-145.34901	-84.17819	6.3179264	-74.558815	-92.64455	1000.0	1000.0	40000	-5.1712794	4.17759	8.0246315	-20.81881	-5.1722803	4.174923	7.3796225	-21.631449	4.853257	1.7765797	160.9557101726532
9	-30.723928	31.008453	5.337596	-86.08905	-10.637948	3.3901796	-3.0107024	-15.18194	1000.0	1000.0	45000	-6.5762067	5.1451926	6.193012	-24.765839	-6.5745883	5.1372747	7.5649023	-26.006485	6.226	2.4017541	182.71456098556519
10	-69.27584	77.285	-0.18502425	-164.8955	-45.27401	78.082924	8.45478	-226.66837	1000.0	1000.0	50000	-8.190436	6.193494	8.035528	-34.12375	-8.192611	6.1913066	6.361151	-31.811848	7.8416553	3.0516882	204.61509227752686
11	-91.91142	83.435936	3.6422372	-226.56839	-43.431244	37.701553	-21.130754	-119.231255	1000.0	1000.0	55000	-10.761676	7.5052834	4.6789336	-40.22354	-10.76048	7.51471	4.8086886	-36.353024	10.449744	4.0402045	225.93454813957214
12	-15.519313	13.8647175	4.5917506	-34.85509	4.0747714	2.0653832	8.481909	2.1978228	1000.0	1000.0	60000	-12.551623	8.4756975	5.29375	-42.09078	-12.550981	8.458291	6.7251606	-42.342983	12.226379	4.5419683	247.3601861000061
13	-6.010741	16.390318	12.659771	-35.529957	1.3648934	2.259521	4.072621	-2.0839853	1000.0	1000.0	65000	-14.057501	9.449897	3.8747814	-48.071823	-14.055857	9.446896	4.206125	-47.725174	13.736142	5.4725556	267.65064215660095
14	-23.87947	32.022068	8.370177	-73.31828	3.7856784	2.157295	8.427827	1.2348565	1000.0	1000.0	70000	-15.515855	10.330333	1.962467	-53.034004	-15.514703	10.3285475	2.0622058	-54.665184	15.144465	6.2408338	286.81756711006165
15	-1.7071778	3.916871	3.6725795	-7.6769648	5.101056	3.4851773	10.896204	-3.1892033	1000.0	1000.0	75000	-17.166037	11.087562	2.1045616	-61.927475	-17.1673	11.096804	2.8822207	-58.2832	16.773746	7.113211	306.4873731136322
16	0.5289009	7.930091	9.804857	-14.207349	-166.94241	71.99786	-43.521515	-258.32852	1000.0	1000.0	80000	-19.020515	11.796467	2.944321	-65.99629	-19.022263	11.796587	2.923259	-63.502346	18.654709	7.966258	326.74866104125977
17	-98.26357	169.92244	2.530038	-437.43384	-4.3791203	12.474301	20.90916	-32.35963	1000.0	1000.0	85000	-21.364079	12.671221	0.2973523	-72.26219	-21.36593	12.678489	-1.4236304	-71.30742	21.045553	9.295006	349.5999789237976
18	-15.490474	8.96721	-5.911825	-29.275902	-26.397152	14.954207	-9.88134	-59.46919	1000.0	1000.0	90000	-23.749166	13.340359	-1.8693253	-83.64779	-23.751406	13.336517	-4.1000113	-79.05557	23.408869	10.213581	373.4685752391815
19	-6.407261	3.728702	-2.0823658	-13.05928	4.9053307	6.7376876	19.140888	-2.4430773	1000.0	1000.0	95000	-26.388805	14.104328	-3.3932729	-87.8178	-26.387888	14.109356	-4.092929	-85.96272	26.093431	12.212132	393.8799059391022
20	-30.520386	30.015093	-9.8890915	-89.68911	-16.199772	20.712486	13.508338	-46.6823	1000.0	1000.0	100000	-29.541586	15.166385	-0.67318654	-97.627975	-29.543142	15.164065	-5.984446	-96.00169	29.205853	12.823906	415.1266121864319
21	-26.480566	19.69146	-3.8295481	-58.98234	-9.337391	13.2779455	14.174522	-31.804495	1000.0	1000.0	105000	-32.54274	15.822364	-11.186587	-114.8224	-32.543312	15.8207655	-5.743965	-98.87437	32.19465	14.449468	436.3428840637207
22	-19.111954	21.973988	8.828471	-49.474823	-9.442935	0.5873179	-8.52656	-10.662408	1000.0	1000.0	110000	-35.690765	16.62895	-0.4771049	-109.45997	-35.69309	16.629524	-8.076336	-110.44448	35.24908	16.688341	457.27811193466187
23	-17.840595	6.572234	-10.11641	-28.878906	2.4021142	11.061368	26.758484	-12.571735	1000.0	1000.0	115000	-38.97126	17.361443	-8.4929695	-119.074814	-38.977062	17.40053	-12.540781	-120.43254	38.583683	18.27808	478.5276610851288
24	-19.41866	10.011626	-5.7206564	-32.625328	-7.4530435	16.95901	1.5182596	-55.522427	1000.0	1000.0	120000	-42.737076	18.199986	-9.869711	-122.9091	-42.73616	18.14532	-14.967685	-131.52351	42.314045	21.210716	499.6315770149231
25	-14.36395	11.4981365	-3.4352236	-34.26053	-16.084986	7.7045736	-7.5305357	-28.899446	1000.0	1000.0	125000	-46.776573	18.947905	-19.369566	-136.64679	-46.775864	18.952045	-11.205246	-139.5526	46.3421	22.228046	519.7822151184082
26	-34.34954	30.626406	6.7413464	-73.99549	-11.11706	1.6715724	-7.8926334	-12.806967	1000.0	1000.0	130000	-51.606945	19.880508	-20.991695	-145.95436	-51.60956	19.889185	-18.521786	-151.17989	51.264645	26.988918	539.498927116394
27	-219.71362	252.47218	-11.059786	-648.6355	-250.21725	13.108003	-225.8291	-279.32892	1000.0	1000.0	135000	-57.303066	20.846558	-15.811043	-246.96608	-57.300526	20.83257	-16.142979	-239.0562	56.830883	34.616932	559.3214802742004
28	-115.74331	123.06163	-12.072694	-344.54227	-41.72589	21.212528	-24.550114	-100.530396	1000.0	1000.0	140000	-63.26034	22.536253	-37.53448	-299.98337	-63.25557	22.555393	-37.74647	-295.17462	62.754524	53.986546	579.0381369590759
